SampleID,Recipient,Background,Transplant,ImmuneSystem,Cage,Experiment,,,
RS0001_1171,Young,RAG1,Young_HSCs,Young,SRS0001-00420,1,,,
RS0001_1173,Young,RAG1,Young_HSCs,Young,SRS0001-00420,1,,,
RS0001_1221,Young,RAG1,Young_HSCs,Young,SRS0001-00435,1,,,
RS0001_1222,Young,RAG1,Young_HSCs,Young,SRS0001-00435,1,,,
RS0001_1223,Young,RAG1,Young_HSCs,Young,SRS0001-00435,1,,,
RS0001_1196,Young,RAG1,Young_HSCs,Young,SRS0001-00427,1,,,
RS0001_1180,Young,RAG1,Old_HSCs,Old,SRS0001-00422,1,,,
RS0001_1181,Young,RAG1,Old_HSCs,Old,SRS0001-00422,1,,,
RS0001_1218,Young,RAG1,Old_HSCs,Old,SRS0001-00440,1,,,  ïœ–
RS0001_1206,Young,RAG1,Old_HSCs,Old,SRS0001-00431,1,,,
RS0001_1197,Young,RAG1,Old_HSCs,Old,SRS0001-00427,1,,,
RS0001_1207,Young,RAG1,Casin_treated_Old_HSCs,Rejuvenated,SRS0001-00431,1,,,
RS0001_1208,Young,RAG1,Casin_treated_Old_HSCs,Rejuvenated,SRS0001-00431,1,,,
RS0001_1209,Young,RAG1,Casin_treated_Old_HSCs,Rejuvenated,SRS0001-00431,1,,,
RS0001_1203,Young,RAG1,Casin_treated_Old_HSCs,Rejuvenated,SRS0001-00427,1,,,
HG0001_9876,Young,C57BL,None,Young,SHG0001-01849,1,,,
HG0001_9877,Young,C57BL,None,Young,SHG0001-01849,1,,,
HG0001_9878,Young,C57BL,None,Young,SHG0001-01849,1,,,
HG0001_9879,Young,C57BL,None,Young,SHG0001-01850,1,,,
HG0001_9880,Young,C57BL,None,Young,SHG0001-01850,1,,,
HG0001_9881,Young,C57BL,None,Young,SHG0001-01850,1,,,
TFZ002_8000,Old,C57BL,None,Old,SHG0001-01845,1,,,
TFZ002_8001,Old,C57BL,None,Old,SHG0001-01845,1,,,
TFZ002_8003,Old,C57BL,None,Old,SHG0001-01846,1,,,
TFZ002_8004,Old,C57BL,None,Old,SHG0001-01846,1,,,
TFZ002_8070,Old,C57BL,None,Old,SHG0001-01848,1,,,
TFZ002_8073,Old,C57BL,None,Old,SHG0001-01848,1,,,
HG0155_0047,Young,RAG1,None,Young,SHG0155-00023,1,,,
HG0155_0048,Young,RAG1,None,Young,SHG0155-00023,1,,,
HG0155_0049,Young,RAG1,None,Young,SHG0155-00023,1,,,
HG0155_0055,Young,RAG1,None,Young,SHG0155-00026,1,,,
HG0155_0056,Young,RAG1,None,Young,SHG0155-00026,1,,,
HG0155_0057,Young,RAG1,None,Young,SHG0155-00026,1,,,
Geiger_01,Young,RAG1,Young_HSCs,Young,SHG0155-00076,2,,,
Geiger_02,Young,RAG1,Young_HSCs,Young,SHG0155-00076,2,,,
Geiger_04,Young,RAG1,Young_HSCs,Young,SHG0155-00077,2,,,
Geiger_05,Young,RAG1,Old_HSCs,Old,SHG0155-00077,2,,,
Geiger_06,Young,RAG1,Old_HSCs,Old,SHG0155-00077,2,,,
Geiger_07,Young,RAG1,Young_HSCs,Young,SHG0155-00079,2,,,
Geiger_08,Young,RAG1,Young_HSCs,Young,SHG0155-00079,2,,,
Geiger_09,Young,RAG1,Old_HSCs,Old,SHG0155-00079,2,,,
Geiger_10,Young,RAG1,Old_HSCs,Old,SHG0155-00079,2,,,
Stahl_01,Young,RAG1,Old_HSCs,Old,,3,,,
Stahl_02,Young,RAG1,Old_HSCs,Old,,3,,,
Stahl_03,Young,RAG1,Old_HSCs,Old,,3,,,
Stahl_04,Young,RAG1,Old_HSCs,Old,,3,,,
Stahl_05,Young,RAG1,Old_HSCs,Old,,3,,,
Stahl_06,Young,RAG1,Old_HSCs,Old,,3,,,
Stahl_07,Young,RAG1,Young_HSCs,Young,,3,,,
Stahl_08,Young,RAG1,Young_HSCs,Young,,3,,,
Stahl_09,Young,RAG1,Young_HSCs,Young,,3,,,
Stahl_10,Young,RAG1,Young_HSCs,Young,,3,,,
Stahl_11,Young,RAG1,Young_HSCs,Young,,3,,,
Stahl_12,Young,C57BL,None,Young,,3,,,
Stahl_13,Young,C57BL,None,Young,,3,,,
Stahl_14,Young,C57BL,None,Young,,3,,,
Stahl_15,Young,C57BL,None,Young,,3,,,
Stahl_16,Young,C57BL,None,Young,,3,,,
Stahl_17,Old,C57BL,None,Old,,3,,,
Stahl_18,Old,C57BL,None,Old,,3,,,
Stahl_19,Old,C57BL,None,Old,,3,,,
Stahl_20,Old,C57BL,None,Old,,3,,,
Stahl_21,Old,C57BL,None,Old,,3,,,
Stahl_22,Young,RAG1,RAG1,Young,,3,,,
Stahl_23,Young,RAG1,RAG1,Young,,3,,,
Stahl_24,Young,RAG1,RAG1,Young,,3,,,
Stahl_25,Young,RAG1,RAG1,Young,,3,,,
